Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.54125,0.4825004086456549,5.003292490750178,-0.002348338773974308
-0.5409375,0.4825004086456549,5.007064030715829,-0.002348338773974308
-0.540625,0.4825004086456549,5.009892685690066,-0.002357789818586207
-0.5403125,0.4834455131068447,5.012721340664304,-0.002357789818586207
-0.54,0.4843906175680345,5.015549995638542,-0.002357789818586207
-0.5396875,0.4843906175680345,5.019321535604193,-0.002367240863198105
-0.539375,0.4853357220292244,5.02215019057843,-0.002367240863198105
-0.5390625,0.4853357220292244,5.024978845552668,-0.002367240863198105
-0.53875,0.4843906175680345,5.027807500526906,-0.002357789818586207
-0.5384375,0.4853357220292244,5.031579040492557,-0.002348338773974308
-0.538125,0.2991501431748266,2.907259154839939,-0.00233888772936241
-0.5378125,-0.4229096651742082,-4.980916683317986,-0.00233888772936241
-0.5375,-0.4229096651742082,-4.982802453300811,-0.002329436684750512
-0.5371875,-0.4229096651742082,-4.980916683317986,-0.002329436684750512
-0.536875,-0.4210194562518286,-4.976202258360923,-0.002319985640138613
-0.5365625000000001,-0.4200743517906387,-4.971487833403859,-0.002319985640138613
-0.53625,-0.4200743517906387,-4.967716293438209,-0.002310534595526715
-0.5359375,-0.4191292473294489,-4.962058983489733,-0.002310534595526715
-0.535625,-0.4200743517906387,-4.95734455853267,-0.002310534595526715
-0.5353125,-0.4200743517906387,-4.953573018567019,-0.002310534595526715
-0.535,-0.4210194562518286,-4.946972823627132,-0.002301083550914817
-0.5346875,-0.4191292473294489,-4.941315513678656,-0.002310534595526715
-0.534375,-0.4191292473294489,-4.939429743695831,-0.002301083550914817
-0.5340625,-0.4191292473294489,-4.93565820373018,-0.002291632506302918
-0.5337499999999999,-0.4191292473294489,-4.930943778773117,-0.002291632506302918
-0.5334375,-0.4181841428682591,-4.92811512379888,-0.002291632506302918
-0.533125,-0.4172390384070692,-4.925286468824641,-0.002291632506302918
-0.5328125,-0.4181841428682591,-4.922457813850404,-0.002272730417079121
-0.5325,-0.4172390384070692,-4.919629158876166,-0.002282181461691019
-0.5321875,-0.4172390384070692,-4.914914733919103,-0.002272730417079121
-0.531875,-0.4172390384070692,-4.912086078944864,-0.002272730417079121
-0.5315625,-0.4162939339458794,-4.907371653987802,-0.002263279372467223
-0.53125,-0.4162939339458794,-4.904542999013564,-0.002253828327855325
-0.5309375,-0.4153488294846895,-4.901714344039326,-0.002253828327855325
-0.530625,-0.4162939339458794,-4.897942804073676,-0.002253828327855325
-0.5303125,-0.4153488294846895,-4.894171264108025,-0.002244377283243426
-0.53,-0.4153488294846895,-4.891342609133788,-0.002244377283243426
-0.5296875,-0.4153488294846895,-4.887571069168136,-0.002234926238631528
-0.529375,-0.4153488294846895,-4.886628184176725,-0.002234926238631528
-0.5290625,-0.4144037250234997,-4.882856644211074,-0.00222547519401963
-0.5287500000000001,-0.4144037250234997,-4.880027989236836,-0.00222547519401963
-0.5284375,-0.4134586205623099,-4.875313564279772,-0.00222547519401963
-0.528125,-0.4134586205623099,-4.872484909305535,-0.002234926238631528
-0.5278125,-0.41251351610112,-4.87059913932271,-0.002234926238631528
-0.5275,-0.4115684116399302,-4.86682759935706,-0.002234926238631528
-0.5271875,-0.41251351610112,-4.864941829374234,-0.002234926238631528
-0.526875,-0.4115684116399302,-4.860227404417171,-0.00222547519401963
-0.5265625,-0.4115684116399302,-4.858341634434346,-0.002234926238631528
-0.52625,-0.4106233071787403,-4.855512979460108,-0.002234926238631528
-0.5259374999999999,-0.4096782027175505,-4.851741439494457,-0.00222547519401963
-0.525625,-0.4087330982563607,-4.847969899528807,-0.00222547519401963
-0.5253125,-0.4087330982563607,-4.844198359563157,-0.002216024149407731
